Player,Team,Position_group,market_value_million,predicted_value_million
Kieran Trippier,Newcastle Utd,DEF,4.0,5.343333333333334
Lewis Hall,Newcastle Utd,DEF,32.0,34.24666666666667
Lewis Miley,Newcastle Utd,MID,22.0,21.796666666666667
Lloyd Kelly,Newcastle Utd,DEF,16.0,14.75
Martin Dúbravka,Newcastle Utd,GK,1.0,2.413166666666667
Miguel Almirón,Newcastle Utd,FWD,10.0,7.779000000000001
Nick Pope,Newcastle Utd,GK,8.0,9.0465
Sandro Tonali,Newcastle Utd,MID,60.0,61.82333333333333
Sean Longstaff,Newcastle Utd,MID,20.0,19.883333333333333
Sven Botman,Newcastle Utd,DEF,42.0,34.75
Valentino Livramento,Newcastle Utd,DEF,40.0,39.626666666666665
William Osula,Newcastle Utd,FWD,7.0,9.628333333333334
Anthony Elanga,Nottingham Forest,MID,42.0,41.88333333333333
Callum Hudson-Odoi,Nottingham Forest,MID,25.0,30.79
Chris Wood,Nottingham Forest,FWD,10.0,11.982333333333333
Danilo,Nottingham Forest,MID,28.0,22.231666666666666
Elliot Anderson,Nottingham Forest,MID,32.0,34.14666666666667
Harry Toffolo,Nottingham Forest,DEF,3.0,10.857
Ibrahim Sangaré,Nottingham Forest,MID,24.0,21.626666666666665
James Ward-Prowse,Nottingham Forest,MID,8.0,7.894666666666666
James Ward-Prowse,Nottingham Forest,MID,8.0,7.894666666666666
Jota Silva,Nottingham Forest,MID,15.0,17.85
Matz Sels,Nottingham Forest,GK,7.0,8.151499999999999
Morato,Nottingham Forest,DEF,14.0,15.941666666666666
Morgan Gibbs-White,Nottingham Forest,MID,50.0,46.93666666666667
Murillo,Nottingham Forest,DEF,55.0,47.72
Neco Williams,Nottingham Forest,DEF,20.0,24.32
Nicolás Domínguez,Nottingham Forest,MID,18.0,21.623333333333335
Nikola Milenković,Nottingham Forest,DEF,35.0,33.045
Ola Aina,Nottingham Forest,DEF,22.0,25.033333333333335
Ramón Sosa,Nottingham Forest,MID,12.0,14.61
Ryan Yates,Nottingham Forest,MID,12.0,16.346666666666668
Taiwo Awoniyi,Nottingham Forest,FWD,16.0,16.908333333333335
Willy Boly,Nottingham Forest,DEF,1.5,1.6138333333333335
Álex Moreno,Nottingham Forest,DEF,7.0,6.870166666666667
Aaron Ramsdale,Southampton,GK,16.0,15.225
Adam Armstrong,Southampton,MID,12.0,12.428333333333333
Adam Lallana,Southampton,MID,0.75,1.2016666666666667
Albert Grønbaek,Southampton,MID,11.0,11.398333333333333
Alex McCarthy,Southampton,GK,0.35,0.8151666666666642
Armel Bella Kotchap,Southampton,DEF,9.0,9.411666666666667
Ben Brereton,Southampton,FWD,7.5,12.915
Cameron Archer,Southampton,FWD,12.0,14.573333333333334
Charlie Taylor,Southampton,DEF,2.2,2.5873333333333415
Flynn Downes,Southampton,MID,13.0,15.508333333333333
Jack Stephens,Southampton,DEF,1.5,3.1016666666666683
James Bree,Southampton,DEF,2.5,5.828333333333333
Jan Bednarek,Southampton,DEF,9.0,13.445333333333334
Jay Robinson,Southampton,MID,,14.621666666666666
Joe Aribo,Southampton,DEF,6.0,10.518333333333333
Joe Lumley,Southampton,GK,0.5,1.9363333333333328
Kamaldeen Sulemana,Southampton,MID,13.0,17.876666666666665
Kyle Walker-Peters,Southampton,DEF,15.0,18.236666666666668
Lesley Ugochukwu,Southampton,MID,18.0,17.493333333333332
Mateus Fernandes,Southampton,MID,15.0,20.22833333333333
Nathan Wood-Gordon,Southampton,DEF,3.5,12.08
Paul Onuachu,Southampton,FWD,6.0,5.743500000000001
Ross Stewart,Southampton,FWD,4.0,6.79
Ryan Fraser,Southampton,DEF,2.0,2.408333333333335
Ryan Manning,Southampton,DEF,3.0,12.803333333333333
Taylor Harwood-Bellis,Southampton,DEF,22.0,23.153333333333332
